"","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
"359",138.580002,140.889999,138.320007,140.779999,237867100,111.608444
"360",139.550003,139.800003,136.220001,136.289993,384276300,108.048843
"361",136.860001,137.5,135.410004,136.619995,228263900,108.310432
"362",135.669998,137.100006,135.350006,135.940002,260234900,107.771362
"363",135.970001,136.259995,133.929993,133.940002,283890100,106.185783
"364",134.600006,135.869995,133.520004,134.449997,252791800,106.590096
"365",135.169998,136.520004,134.419998,136.149994,244726900,107.93782
"366",135.550003,136.929993,135.460007,136.229996,185832500,108.001266
"367",137.070007,137.119995,135.369995,135.570007,191707700,107.478035
"368",134.690002,135.520004,133.710007,134.25,265893000,106.431541
"369",134.149994,135.240005,133.5,134.419998,304204900,106.56633
"370",132.839996,133.089996,131.220001,131.580002,289275700,104.836586
"371",132.089996,132.229996,131.320007,131.449997,165096400,104.732979
"372",131.050003,132.440002,130.190002,131.190002,267300600,104.525826
"373",131.720001,133.399994,131.240005,131.809998,287853900,105.019821
"374",130.570007,131.419998,128.080002,128.229996,297775000,102.167458
"375",128.279999,128.860001,127.040001,127.529999,303423400,101.609734
"376",127.889999,128.910004,127.300003,127.980003,258842600,101.968269
"377",126.519997,128.470001,125.93,128.380005,388622000,102.286964
"378",128.789993,129.160004,125.949997,126.18,288064600,100.534103
"379",127.110001,127.110001,124.989998,126.309998,239352500,100.637672
"380",126.790001,127.339996,123.919998,125.019997,372427300,99.609879
"381",124.989998,127.389999,124.199997,127.239998,375973700,101.378685
"382",127.5,127.739998,124.389999,124.790001,336729400,99.42662
"383",124.43,125.790001,123.580002,125.300003,436475700,99.832985
"384",123.970001,125.900002,122.489998,123.839996,481124600,98.669685
"385",125.260002,125.5,122.400002,122.720001,322720800,97.777374
"386",121.800003,123.489998,120.019997,120.989998,502502500,96.398949
"387",121.449997,124.57,121.099998,123.959999,371642900,98.76532
"388",125.139999,126.260002,124.089996,125.199997,375490600,99.753304
"389",126.169998,126.419998,125.150002,125.980003,267030100,100.374771
"390",126.510002,126.800003,125.190002,126.050003,222863000,100.430527
"391",125.150002,127.800003,124.849998,127.480003,296904200,101.569893
"392",127.889999,129.149994,127.550003,128.169998,311698400,102.119652
"393",128.339996,128.410004,125.160004,125.510002,248634500,100.00029
"394",125.889999,126.489998,125.169998,125.480003,219131000,99.976387
"395",125.510002,126.059998,123.419998,123.639999,205201300,98.510353
"396",123.980003,126.379997,123.639999,126.279999,261505600,100.613785
"397",127.110001,128.600006,126.279999,128.529999,354710000,102.406464
"398",127.400002,128.570007,126.629997,126.830002,277402100,101.05204
"399",127.120003,127.279999,125.459999,126.160004,248690900,100.518181
"400",126.040001,126.139999,124.760002,124.989998,188239600,99.585983
"401",126.019997,128.559998,124.970001,128.360001,251577600,102.271019
"402",128.020004,129.300003,127.480003,128.929993,209555400,102.725182
"403",127.959999,128.440002,126.540001,127.010002,246312500,101.195419
"404",126.580002,129.929993,126.379997,129.369995,260811700,103.075752
"405",129.470001,131.509995,129.229996,130.710007,249425800,104.143417
"406",130.279999,130.699997,128.729996,129.350006,213200800,103.05986
"407",128.789993,129.649994,127.669998,128.570007,256393200,102.43837
"408",127.839996,130.279999,127.75,129.539993,239555300,103.211205
"409",129.929993,130.5,129.300003,130.169998,181000800,103.71315
"410",130.429993,130.479996,127.660004,128.389999,172275100,102.294945
"411",127.419998,127.690002,126.529999,126.989998,194673700,101.179482
"412",127.389999,127.949997,126.339996,127.580002,225498200,101.649582
"413",126.75,128.440002,126.599998,127.800003,180609800,101.82489
"414",128.669998,129.649994,127.800003,129.649994,167715300,103.298851
"415",128.800003,129.649994,126.75,127.019997,171936900,101.2034
"416",127.019997,127.870003,126.580002,127.389999,159117200,101.498184
"417",127.550003,128.830002,127.300003,128.630005,171032800,102.48616
"418",129.279999,130.339996,129.110001,130.190002,167537100,103.729103
"419",129.729996,130.139999,128.509995,128.789993,189195800,102.613632
"420",130.029999,130.710007,127.519997,127.989998,252364900,101.976227
"421",127.879997,128.5,126.93,127.879997,251947000,101.888603
"422",126.970001,127.230003,123.959999,124.029999,340042500,98.821114
"423",123.290001,124.949997,122,124.419998,289503400,99.131828
"424",128.039993,128.240005,124.419998,126.989998,364075300,101.179482
"425",127.099998,127.360001,122.800003,123.220001,377326800,98.17572
"426",123.889999,124.900002,122.550003,123.720001,298916600,98.574104
"427",122.120003,125.739998,121.599998,125.510002,375369400,100.00029
"428",124.290001,126.209999,123.830002,126.089996,297851200,100.462402
"429",121.629997,125.650002,119.889999,120.089996,483607000,95.681892
"430",117.199997,122.32,117,122.099998,581744300,97.283371
"431",119.639999,121.849998,116,116.610001,624095600,92.909218
"432",118.050003,121.790001,113.800003,120.07,776114700,95.665932
"433",126.699997,128,123.330002,124.120003,501087800,99.465225
"434",124.449997,124.75,120.360001,121.309998,249966500,97.213356
"435",120.849998,122.019997,118.279999,118.550003,327470400,95.001625
"436",119.349998,120,117.790001,118.93,311818400,95.306137
"437",119.400002,121.910004,118.440002,120.790001,328253000,96.796684
"438",118.830002,121.5,118.510002,120.849998,285917400,96.844765
"439",119.139999,119.339996,110.970001,111.379997,459562300,89.255829
"440",113.510002,116.800003,110.529999,115.989998,328154400,92.950142
"441",115.269997,116.690002,113.949997,116.059998,332783000,93.006233
"442",114.949997,115.110001,111.059998,111.849998,365337800,89.632477
"443",112.860001,115.449997,109.68,110.339996,461798000,88.422447
"444",107.150002,107.620003,100.639999,104.720001,610637500,83.918755
"445",106.839996,107.330002,99.650002,100.029999,540012100,80.160393
"446",97.519997,102.18,96.809998,97.510002,725414800,78.140968
"447",99.660004,100.620003,90.25,90.699997,534485200,72.683655
"448",86.760002,93.940002,83.580002,88.5,871026300,70.92067
"449",93.870003,101.349998,89.949997,101.349998,455584000,81.218185
"450",104.699997,105.529999,97.110001,99.849998,546268300,80.016159
"451",97.459999,97.800003,89.709999,90.019997,484627500,72.138748
"452",91.290001,94.769997,86.540001,93.769997,708811200,75.143829
"453",91.989998,98.589996,91.650002,93.209999,476649000,74.695053
"454",95.349998,99.099998,94.089996,98.809998,321294200,79.182724
"455",96.970001,98.639999,95.220001,95.860001,356502000,76.818672
"456",93.199997,95.860001,87.529999,90.639999,516168000,72.635597
"457",90.290001,92.449997,85.809998,91.690002,634666400,73.477013
"458",84.059998,89.919998,84,87.040001,545812600,69.750671
"459",85.970001,89.510002,83.699997,83.949997,397288600,67.274467
"460",87.339996,94.239998,84.529999,93.760002,639939500,75.135826
"461",93.769997,97.169998,92.099998,93.080002,531270100,74.590912
"462",95.779999,96.540001,92.900002,96.300003,414582100,77.171288
"463",95.080002,98.57,94.480003,96.830002,411394000,77.596016
"464",96.779999,97.690002,95.949997,97.110001,205419400,77.820389
"465",99.059998,100.860001,96.709999,100.410004,346793400,80.46489
"466",99.199997,100.709999,95,96.190002,387844100,77.083145
"467",94.459999,95.440002,90.059998,90.860001,477721900,72.811867
"468",91.650002,94,90.5,93.860001,380391000,75.215973
"469",95.209999,95.529999,90.919998,92.629997,301773000,74.230316
"470",90.760002,92.139999,88.650002,89.769997,418498200,71.938385
"471",88.230003,88.949997,85.120003,85.82,454330600,68.773003
"472",86.129997,91.730003,82.089996,91.169998,753141900,73.060303
"473",89.410004,92.059998,86.519997,86.620003,540352300,69.414093
"474",86.379997,88.559998,85.160004,85.470001,415254900,68.492546
"475",85.150002,87.220001,82.910004,87.080002,523811800,69.782722
"476",85.910004,86.870003,80.919998,81.5,558327600,65.311111
"477",80.129997,82.510002,75.050003,75.449997,814180400,60.462864
"478",77.459999,80.900002,74.339996,79.519997,718536500,63.7244
"479",81.919998,86.989998,80.360001,85.029999,523305300,68.139946
"480",87.300003,87.510002,83.82,85.660004,454112400,68.644791
"481",84.300003,89.190002,84.239998,88.970001,370134200,71.297318
"482",88.629997,90.129997,88.480003,90.089996,118308100,72.194817
"483",87.510002,87.550003,81.860001,82.110001,369927100,65.799927
"484",83.470001,85.489998,82.040001,85.269997,469508400,68.33226
"485",83.400002,87.830002,83.139999,87.32,519863500,69.975067
"486",86.059998,88.050003,83.739998,85.300003,444173800,68.356308
"487",83.650002,88.419998,82.239998,87.93,471905300,70.463875
"488",90.339996,92.379997,88.080002,91,412859300,72.924057
"489",90.370003,92.129997,88.980003,89.5,370790000,71.722023
"490",90.32,91.360001,89,90.110001,396187400,72.210884
"491",89.540001,91,87.370003,87.940002,365061000,70.471916
"492",85.550003,89.07,85.199997,88.989998,415060400,71.313309
"493",89.019997,89.150002,86.290001,87.75,256694200,70.319611
"494",91.879997,92.019997,88.18,91.879997,377699500,73.629265
"495",90.839996,92.43,90.059998,90.989998,281819800,72.916054
"496",91.400002,91.669998,88.209999,89.290001,374673300,71.553734
"497",89.099998,90.620003,88.089996,88.190002,301451300,71.245911
"498",88.580002,88.669998,85.489998,87.059998,243759500,70.333046
"499",87.529999,87.93,85.800003,86.160004,221625200,69.605988
"500",86.449997,86.870003,86,86.660004,62061600,70.009911
"501",87.239998,87.300003,86.5,87.160004,74767700,70.413834
"502",87.239998,87.330002,85.599998,86.910004,127795900,70.211876
"503",87.510002,89.050003,86.879997,88.970001,168256300,71.876083
"504",89.080002,90.970001,88.870003,90.239998,193987200,72.902092
"505",90.440002,93.440002,89.849998,92.959999,227566300,75.099487
"506",92.629997,93.660004,91.889999,92.849998,240349700,75.010582
"507",93.639999,94.449997,92.68,93.470001,328260900,75.511505
"508",92,92.260002,90.199997,90.669998,280899200,73.249435
"509",90.160004,91.089996,89.669998,91.040001,263834400,73.548378
"510",91.160004,91.32,85.360001,89.089996,330953600,71.973022
"511",88.839996,88.910004,86.410004,86.949997,277858500,70.244171
"512",86.730003,87.879997,86.199997,87.110001,356432300,70.373459
"513",85.540001,85.75,83.160004,84.370003,435491600,68.159882
"514",84.120003,85.25,81.720001,84.400002,532647300,68.184097
"515",85.860001,85.989998,83.050003,85.059998,399237200,68.717339
"516",84.230003,85.059998,80.050003,80.57,419855200,65.089966
"517",81.940002,84.239998,80.470001,84.050003,364360700,67.901367
"518",82.419998,84.040001,81.169998,82.75,427940300,66.851128
"519",80.900002,83.989998,80.57,83.110001,386800600,67.141983
"520",83.589996,85.360001,82.809998,83.68,317978800,67.602448
"521",84.129997,85.150002,83.300003,84.529999,273789700,68.289131
"522",86.400002,87.949997,86.07,87.389999,330007000,70.59964
"523",86.110001,87.489998,84.470001,84.550003,294392500,68.305298
"524",84.980003,85.400002,82.209999,82.830002,383383600,66.915756
"525",81.57,83.18,81.309998,82.580002,288233300,66.713783
"526",83.099998,84.360001,82.220001,83.739998,278385800,67.650932
"527",84.300003,85.370003,83.040001,83.330002,322989300,67.319695
"528",82.699997,85.290001,77.730003,84.57,417679400,68.321457
"529",84.860001,87.339996,84.68,86.980003,366101700,70.268433
"530",86.959999,87.739998,86.32,87.099998,240075200,70.365356
"531",86.269997,87.029999,82.449997,83.110001,536212800,67.141983
"532",83.449997,84.050003,82.400002,83.599998,324442500,67.537804
